"trainer/global_step","vanillasinh_small - train_loss","vanillasinh_small - train_loss__MIN","vanillasinh_small - train_loss__MAX","vanillasinh_small - _step","vanillasinh_small - _step__MIN","vanillasinh_small - _step__MAX"
"24799","0.11422766745090485","0.11422766745090485","0.11422766745090485","247","247","247"
"24899","0.1242227703332901","0.1242227703332901","0.1242227703332901","248","248","248"
"24999","0.12209958583116531","0.12209958583116531","0.12209958583116531","249","249","249"
"25099","0.11326389014720917","0.11326389014720917","0.11326389014720917","250","250","250"
"25199","0.1207205280661583","0.1207205280661583","0.1207205280661583","251","251","251"
"25299","0.11533364653587341","0.11533364653587341","0.11533364653587341","252","252","252"
"25399","0.12301566451787949","0.12301566451787949","0.12301566451787949","253","253","253"
"25499","0.12065435200929642","0.12065435200929642","0.12065435200929642","254","254","254"
"25599","0.12233635783195496","0.12233635783195496","0.12233635783195496","255","255","255"
"25699","0.12337472289800644","0.12337472289800644","0.12337472289800644","256","256","256"
"25799","0.12131443619728088","0.12131443619728088","0.12131443619728088","257","257","257"
"25899","0.12094429135322571","0.12094429135322571","0.12094429135322571","258","258","258"
"25999","0.11709848791360855","0.11709848791360855","0.11709848791360855","259","259","259"
"26099","0.12023676186800003","0.12023676186800003","0.12023676186800003","260","260","260"
"26199","0.11832301318645477","0.11832301318645477","0.11832301318645477","261","261","261"
"26299","0.11864425241947174","0.11864425241947174","0.11864425241947174","262","262","262"
"26399","0.1264016181230545","0.1264016181230545","0.1264016181230545","263","263","263"
"26499","0.12613403797149658","0.12613403797149658","0.12613403797149658","264","264","264"
"26599","0.12321799993515015","0.12321799993515015","0.12321799993515015","265","265","265"
"26699","0.12609606981277466","0.12609606981277466","0.12609606981277466","266","266","266"
"26799","0.12412454187870026","0.12412454187870026","0.12412454187870026","267","267","267"
"26899","0.11377356201410294","0.11377356201410294","0.11377356201410294","268","268","268"
"26999","0.12444902211427689","0.12444902211427689","0.12444902211427689","269","269","269"
"27099","0.11938256770372391","0.11938256770372391","0.11938256770372391","270","270","270"
"27199","0.1176895946264267","0.1176895946264267","0.1176895946264267","271","271","271"
"27299","0.1246495172381401","0.1246495172381401","0.1246495172381401","272","272","272"
"27399","0.12247326970100403","0.12247326970100403","0.12247326970100403","273","273","273"
"27499","0.11584402620792389","0.11584402620792389","0.11584402620792389","274","274","274"
"27599","0.12090520560741425","0.12090520560741425","0.12090520560741425","275","275","275"
"27699","0.1200219988822937","0.1200219988822937","0.1200219988822937","276","276","276"
"27799","0.12025744467973709","0.12025744467973709","0.12025744467973709","277","277","277"
"27899","0.12021712958812714","0.12021712958812714","0.12021712958812714","278","278","278"
"27999","0.10864701867103577","0.10864701867103577","0.10864701867103577","279","279","279"
"28099","0.1269846111536026","0.1269846111536026","0.1269846111536026","280","280","280"
"28199","0.12124695628881454","0.12124695628881454","0.12124695628881454","281","281","281"
"28299","0.11867398023605347","0.11867398023605347","0.11867398023605347","282","282","282"
"28399","0.12054448574781418","0.12054448574781418","0.12054448574781418","283","283","283"
"28499","0.12084998190402985","0.12084998190402985","0.12084998190402985","284","284","284"
"28599","0.11780812591314316","0.11780812591314316","0.11780812591314316","285","285","285"
"28699","0.1208040863275528","0.1208040863275528","0.1208040863275528","286","286","286"
"28799","0.121406190097332","0.121406190097332","0.121406190097332","287","287","287"
"28899","0.11879827827215195","0.11879827827215195","0.11879827827215195","288","288","288"
"28999","0.12604071199893951","0.12604071199893951","0.12604071199893951","289","289","289"
"29099","0.12122892588376999","0.12122892588376999","0.12122892588376999","290","290","290"
"29199","0.11837473511695862","0.11837473511695862","0.11837473511695862","291","291","291"
"29299","0.12176018208265305","0.12176018208265305","0.12176018208265305","292","292","292"
"29399","0.12008611112833023","0.12008611112833023","0.12008611112833023","293","293","293"
"29499","0.11735541373491287","0.11735541373491287","0.11735541373491287","294","294","294"
"29599","0.11504766345024109","0.11504766345024109","0.11504766345024109","295","295","295"
"29699","0.12217036634683609","0.12217036634683609","0.12217036634683609","296","296","296"
"29799","0.11389531195163727","0.11389531195163727","0.11389531195163727","297","297","297"
"29899","0.12333701550960541","0.12333701550960541","0.12333701550960541","298","298","298"
"29999","0.12358071655035019","0.12358071655035019","0.12358071655035019","299","299","299"
"30099","0.12063684314489365","0.12063684314489365","0.12063684314489365","300","300","300"
"30199","0.1265924572944641","0.1265924572944641","0.1265924572944641","301","301","301"
"30299","0.12369546294212341","0.12369546294212341","0.12369546294212341","302","302","302"
"30399","0.12666739523410797","0.12666739523410797","0.12666739523410797","303","303","303"
"30499","0.11667951941490173","0.11667951941490173","0.11667951941490173","304","304","304"
"30599","0.11994054913520813","0.11994054913520813","0.11994054913520813","305","305","305"
"30699","0.12044243514537811","0.12044243514537811","0.12044243514537811","306","306","306"
"30799","0.11934536695480347","0.11934536695480347","0.11934536695480347","307","307","307"
"30899","0.1214691624045372","0.1214691624045372","0.1214691624045372","308","308","308"
"30999","0.1210736334323883","0.1210736334323883","0.1210736334323883","309","309","309"
"31099","0.11464030295610428","0.11464030295610428","0.11464030295610428","310","310","310"
"31199","0.12148971110582352","0.12148971110582352","0.12148971110582352","311","311","311"
"31299","0.11390478163957596","0.11390478163957596","0.11390478163957596","312","312","312"
"31399","0.11955852806568146","0.11955852806568146","0.11955852806568146","313","313","313"
"31499","0.12511786818504333","0.12511786818504333","0.12511786818504333","314","314","314"
"31599","0.11909955739974976","0.11909955739974976","0.11909955739974976","315","315","315"
"31699","0.11375576257705688","0.11375576257705688","0.11375576257705688","316","316","316"
"31799","0.12020815908908844","0.12020815908908844","0.12020815908908844","317","317","317"
"31899","0.11815789341926575","0.11815789341926575","0.11815789341926575","318","318","318"
"31999","0.12269574403762817","0.12269574403762817","0.12269574403762817","319","319","319"
"32099","0.11898627132177353","0.11898627132177353","0.11898627132177353","320","320","320"
"32199","0.12156519293785095","0.12156519293785095","0.12156519293785095","321","321","321"
"32299","0.12158091366291046","0.12158091366291046","0.12158091366291046","322","322","322"
"32399","0.12032005935907364","0.12032005935907364","0.12032005935907364","323","323","323"
"32499","0.12395180761814117","0.12395180761814117","0.12395180761814117","324","324","324"
"32599","0.12081363797187805","0.12081363797187805","0.12081363797187805","325","325","325"
"32699","0.1169409230351448","0.1169409230351448","0.1169409230351448","326","326","326"
"32799","0.12149834632873535","0.12149834632873535","0.12149834632873535","327","327","327"
"32899","0.11376030743122101","0.11376030743122101","0.11376030743122101","328","328","328"
"32999","0.12519891560077667","0.12519891560077667","0.12519891560077667","329","329","329"
"33099","0.11744276434183121","0.11744276434183121","0.11744276434183121","330","330","330"
"33199","0.1141221895813942","0.1141221895813942","0.1141221895813942","331","331","331"
"33299","0.11621467769145966","0.11621467769145966","0.11621467769145966","332","332","332"
"33399","0.11869025975465775","0.11869025975465775","0.11869025975465775","333","333","333"
"33499","0.12217642366886139","0.12217642366886139","0.12217642366886139","334","334","334"
"33599","0.12731489539146423","0.12731489539146423","0.12731489539146423","335","335","335"
"33699","0.12430110573768616","0.12430110573768616","0.12430110573768616","336","336","336"
"33799","0.12142836302518845","0.12142836302518845","0.12142836302518845","337","337","337"
"33899","0.11913974583148956","0.11913974583148956","0.11913974583148956","338","338","338"
"33999","0.12138186395168304","0.12138186395168304","0.12138186395168304","339","339","339"
"34099","0.12175440788269043","0.12175440788269043","0.12175440788269043","340","340","340"
"34199","0.12714600563049316","0.12714600563049316","0.12714600563049316","341","341","341"
"34299","0.11890091747045517","0.11890091747045517","0.11890091747045517","342","342","342"
"34399","0.11642177402973175","0.11642177402973175","0.11642177402973175","343","343","343"
"34499","0.11823344975709915","0.11823344975709915","0.11823344975709915","344","344","344"
"34599","0.12077592313289642","0.12077592313289642","0.12077592313289642","345","345","345"
"34699","0.12092527747154236","0.12092527747154236","0.12092527747154236","346","346","346"
"34799","0.1185419112443924","0.1185419112443924","0.1185419112443924","347","347","347"
"34899","0.12172118574380875","0.12172118574380875","0.12172118574380875","348","348","348"
"34999","0.12081432342529297","0.12081432342529297","0.12081432342529297","349","349","349"
"35099","0.1128782108426094","0.1128782108426094","0.1128782108426094","350","350","350"
"35199","0.11607547849416733","0.11607547849416733","0.11607547849416733","351","351","351"
"35299","0.12278564274311066","0.12278564274311066","0.12278564274311066","352","352","352"
"35399","0.11885344982147217","0.11885344982147217","0.11885344982147217","353","353","353"
"35499","0.11725103110074997","0.11725103110074997","0.11725103110074997","354","354","354"
"35599","0.11566990613937378","0.11566990613937378","0.11566990613937378","355","355","355"
"35699","0.12398818135261536","0.12398818135261536","0.12398818135261536","356","356","356"
"35799","0.12164206802845001","0.12164206802845001","0.12164206802845001","357","357","357"
