"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"15899","0.1486659198999405","0.1486659198999405","0.1486659198999405","158","158","158"
"15999","0.14399906992912292","0.14399906992912292","0.14399906992912292","159","159","159"
"16099","0.14384546875953674","0.14384546875953674","0.14384546875953674","160","160","160"
"16199","0.13937854766845703","0.13937854766845703","0.13937854766845703","161","161","161"
"16299","0.14679600298404694","0.14679600298404694","0.14679600298404694","162","162","162"
"16399","0.14947162568569183","0.14947162568569183","0.14947162568569183","163","163","163"
"16499","0.1458396017551422","0.1458396017551422","0.1458396017551422","164","164","164"
"16599","0.14231686294078827","0.14231686294078827","0.14231686294078827","165","165","165"
"16699","0.14654527604579926","0.14654527604579926","0.14654527604579926","166","166","166"
"16799","0.1446845382452011","0.1446845382452011","0.1446845382452011","167","167","167"
"16899","0.14657431840896606","0.14657431840896606","0.14657431840896606","168","168","168"
"16999","0.14780603349208832","0.14780603349208832","0.14780603349208832","169","169","169"
"17099","0.14690889418125153","0.14690889418125153","0.14690889418125153","170","170","170"
"17199","0.1436646431684494","0.1436646431684494","0.1436646431684494","171","171","171"
"17299","0.1420232653617859","0.1420232653617859","0.1420232653617859","172","172","172"
"17399","0.1501588374376297","0.1501588374376297","0.1501588374376297","173","173","173"
"17499","0.14876212179660797","0.14876212179660797","0.14876212179660797","174","174","174"
"17599","0.13926662504673004","0.13926662504673004","0.13926662504673004","175","175","175"
"17699","0.14248840510845184","0.14248840510845184","0.14248840510845184","176","176","176"
"17799","0.14400210976600647","0.14400210976600647","0.14400210976600647","177","177","177"
"17899","0.1399858146905899","0.1399858146905899","0.1399858146905899","178","178","178"
"17999","0.1498667597770691","0.1498667597770691","0.1498667597770691","179","179","179"
"18099","0.1455947607755661","0.1455947607755661","0.1455947607755661","180","180","180"
"18199","0.14371784031391144","0.14371784031391144","0.14371784031391144","181","181","181"
"18299","0.14380384981632233","0.14380384981632233","0.14380384981632233","182","182","182"
"18399","0.14507657289505005","0.14507657289505005","0.14507657289505005","183","183","183"
"18499","0.1442505121231079","0.1442505121231079","0.1442505121231079","184","184","184"
"18599","0.14144544303417206","0.14144544303417206","0.14144544303417206","185","185","185"
"18699","0.1436977982521057","0.1436977982521057","0.1436977982521057","186","186","186"
"18799","0.14432547986507416","0.14432547986507416","0.14432547986507416","187","187","187"
"18899","0.14672014117240906","0.14672014117240906","0.14672014117240906","188","188","188"
"18999","0.14188185334205627","0.14188185334205627","0.14188185334205627","189","189","189"
"19099","0.14545945823192596","0.14545945823192596","0.14545945823192596","190","190","190"
"19199","0.13919642567634583","0.13919642567634583","0.13919642567634583","191","191","191"
"19299","0.1436178982257843","0.1436178982257843","0.1436178982257843","192","192","192"
"19399","0.14759506285190582","0.14759506285190582","0.14759506285190582","193","193","193"
"19499","0.14216019213199615","0.14216019213199615","0.14216019213199615","194","194","194"
"19599","0.14316263794898987","0.14316263794898987","0.14316263794898987","195","195","195"
"19699","0.1413045972585678","0.1413045972585678","0.1413045972585678","196","196","196"
"19799","0.14705340564250946","0.14705340564250946","0.14705340564250946","197","197","197"
"19899","0.1399497389793396","0.1399497389793396","0.1399497389793396","198","198","198"
"19999","0.14217963814735413","0.14217963814735413","0.14217963814735413","199","199","199"
"20099","0.14026384055614471","0.14026384055614471","0.14026384055614471","200","200","200"
"20199","0.13947218656539917","0.13947218656539917","0.13947218656539917","201","201","201"
"20299","0.1486707329750061","0.1486707329750061","0.1486707329750061","202","202","202"
"20399","0.14593273401260376","0.14593273401260376","0.14593273401260376","203","203","203"
"20499","0.14060568809509277","0.14060568809509277","0.14060568809509277","204","204","204"
"20599","0.14623239636421204","0.14623239636421204","0.14623239636421204","205","205","205"
"20699","0.14001800119876862","0.14001800119876862","0.14001800119876862","206","206","206"
"20799","0.14368154108524323","0.14368154108524323","0.14368154108524323","207","207","207"
"20899","0.14125406742095947","0.14125406742095947","0.14125406742095947","208","208","208"
"20999","0.1453571617603302","0.1453571617603302","0.1453571617603302","209","209","209"
"21099","0.1444230079650879","0.1444230079650879","0.1444230079650879","210","210","210"
"21199","0.14117470383644104","0.14117470383644104","0.14117470383644104","211","211","211"
"21299","0.14521600306034088","0.14521600306034088","0.14521600306034088","212","212","212"
"21399","0.13897305727005005","0.13897305727005005","0.13897305727005005","213","213","213"
"21499","0.14228984713554382","0.14228984713554382","0.14228984713554382","214","214","214"
"21599","0.14738143980503082","0.14738143980503082","0.14738143980503082","215","215","215"
"21699","0.14191360771656036","0.14191360771656036","0.14191360771656036","216","216","216"
"21799","0.14522410929203033","0.14522410929203033","0.14522410929203033","217","217","217"
"21899","0.1414894163608551","0.1414894163608551","0.1414894163608551","218","218","218"
"21999","0.14085857570171356","0.14085857570171356","0.14085857570171356","219","219","219"
"22099","0.15256868302822113","0.15256868302822113","0.15256868302822113","220","220","220"
"22199","0.14214378595352173","0.14214378595352173","0.14214378595352173","221","221","221"
"22299","0.13285419344902039","0.13285419344902039","0.13285419344902039","222","222","222"
"22399","0.14324352145195007","0.14324352145195007","0.14324352145195007","223","223","223"
"22499","0.1425662785768509","0.1425662785768509","0.1425662785768509","224","224","224"
"22599","0.14718492329120636","0.14718492329120636","0.14718492329120636","225","225","225"
"22699","0.1409720480442047","0.1409720480442047","0.1409720480442047","226","226","226"
"22799","0.1425020396709442","0.1425020396709442","0.1425020396709442","227","227","227"
"22899","0.13870006799697876","0.13870006799697876","0.13870006799697876","228","228","228"
"22999","0.1376420259475708","0.1376420259475708","0.1376420259475708","229","229","229"
"23099","0.1442359834909439","0.1442359834909439","0.1442359834909439","230","230","230"
"23199","0.14028052985668182","0.14028052985668182","0.14028052985668182","231","231","231"
"23299","0.1366928219795227","0.1366928219795227","0.1366928219795227","232","232","232"
"23399","0.13659223914146423","0.13659223914146423","0.13659223914146423","233","233","233"
"23499","0.14524154365062714","0.14524154365062714","0.14524154365062714","234","234","234"
"23599","0.14573122560977936","0.14573122560977936","0.14573122560977936","235","235","235"
