"trainer/global_step","prefix4sinh - train_loss","prefix4sinh - train_loss__MIN","prefix4sinh - train_loss__MAX","prefix4sinh - _step","prefix4sinh - _step__MIN","prefix4sinh - _step__MAX"
"29899","0.13623125851154327","0.13623125851154327","0.13623125851154327","298","298","298"
"29999","0.1383654922246933","0.1383654922246933","0.1383654922246933","299","299","299"
"30099","0.1336587518453598","0.1336587518453598","0.1336587518453598","300","300","300"
"30199","0.13523799180984497","0.13523799180984497","0.13523799180984497","301","301","301"
"30299","0.13436195254325867","0.13436195254325867","0.13436195254325867","302","302","302"
"30399","0.13801923394203186","0.13801923394203186","0.13801923394203186","303","303","303"
"30499","0.13513727486133575","0.13513727486133575","0.13513727486133575","304","304","304"
"30599","0.1311633437871933","0.1311633437871933","0.1311633437871933","305","305","305"
"30699","0.13853520154953003","0.13853520154953003","0.13853520154953003","306","306","306"
"30799","0.1351979672908783","0.1351979672908783","0.1351979672908783","307","307","307"
"30899","0.13079361617565155","0.13079361617565155","0.13079361617565155","308","308","308"
"30999","0.1374773383140564","0.1374773383140564","0.1374773383140564","309","309","309"
"31099","0.13061004877090454","0.13061004877090454","0.13061004877090454","310","310","310"
"31199","0.13468390703201294","0.13468390703201294","0.13468390703201294","311","311","311"
"31299","0.13459636270999908","0.13459636270999908","0.13459636270999908","312","312","312"
"31399","0.13855989277362823","0.13855989277362823","0.13855989277362823","313","313","313"
"31499","0.1304445117712021","0.1304445117712021","0.1304445117712021","314","314","314"
"31599","0.13586772978305817","0.13586772978305817","0.13586772978305817","315","315","315"
"31699","0.14100217819213867","0.14100217819213867","0.14100217819213867","316","316","316"
"31799","0.13601651787757874","0.13601651787757874","0.13601651787757874","317","317","317"
"31899","0.1424337476491928","0.1424337476491928","0.1424337476491928","318","318","318"
"31999","0.13241593539714813","0.13241593539714813","0.13241593539714813","319","319","319"
"32099","0.13445651531219482","0.13445651531219482","0.13445651531219482","320","320","320"
"32199","0.1397213339805603","0.1397213339805603","0.1397213339805603","321","321","321"
"32299","0.13468916714191437","0.13468916714191437","0.13468916714191437","322","322","322"
