"trainer/global_step","causal - train_loss","causal - train_loss__MIN","causal - train_loss__MAX","causal - _step","causal - _step__MIN","causal - _step__MAX"
"16799","0.12940742075443268","0.12940742075443268","0.12940742075443268","167","167","167"
"16899","0.13756848871707916","0.13756848871707916","0.13756848871707916","168","168","168"
"16999","0.13564760982990265","0.13564760982990265","0.13564760982990265","169","169","169"
"17099","0.1374405324459076","0.1374405324459076","0.1374405324459076","170","170","170"
"17199","0.13714924454689026","0.13714924454689026","0.13714924454689026","171","171","171"
"17299","0.14003586769104004","0.14003586769104004","0.14003586769104004","172","172","172"
"17399","0.13505996763706207","0.13505996763706207","0.13505996763706207","173","173","173"
"17499","0.1301582306623459","0.1301582306623459","0.1301582306623459","174","174","174"
"17599","0.1353459358215332","0.1353459358215332","0.1353459358215332","175","175","175"
"17699","0.13728712499141693","0.13728712499141693","0.13728712499141693","176","176","176"
"17799","0.13858261704444885","0.13858261704444885","0.13858261704444885","177","177","177"
"17899","0.13532716035842896","0.13532716035842896","0.13532716035842896","178","178","178"
"17999","0.13416787981987","0.13416787981987","0.13416787981987","179","179","179"
"18099","0.13453450798988342","0.13453450798988342","0.13453450798988342","180","180","180"
"18199","0.13529549539089203","0.13529549539089203","0.13529549539089203","181","181","181"
"18299","0.13973368704319","0.13973368704319","0.13973368704319","182","182","182"
"18399","0.1321292221546173","0.1321292221546173","0.1321292221546173","183","183","183"
"18499","0.13387344777584076","0.13387344777584076","0.13387344777584076","184","184","184"
"18599","0.13752833008766174","0.13752833008766174","0.13752833008766174","185","185","185"
"18699","0.13983513414859772","0.13983513414859772","0.13983513414859772","186","186","186"
"18799","0.1327516883611679","0.1327516883611679","0.1327516883611679","187","187","187"
"18899","0.1397116333246231","0.1397116333246231","0.1397116333246231","188","188","188"
"18999","0.1341371387243271","0.1341371387243271","0.1341371387243271","189","189","189"
"19099","0.1319272518157959","0.1319272518157959","0.1319272518157959","190","190","190"
"19199","0.13637082278728485","0.13637082278728485","0.13637082278728485","191","191","191"
"19299","0.13315176963806152","0.13315176963806152","0.13315176963806152","192","192","192"
"19399","0.13448411226272583","0.13448411226272583","0.13448411226272583","193","193","193"
"19499","0.1338801234960556","0.1338801234960556","0.1338801234960556","194","194","194"
"19599","0.1389520913362503","0.1389520913362503","0.1389520913362503","195","195","195"
"19699","0.13371136784553528","0.13371136784553528","0.13371136784553528","196","196","196"
"19799","0.13608276844024658","0.13608276844024658","0.13608276844024658","197","197","197"
"19899","0.13918225467205048","0.13918225467205048","0.13918225467205048","198","198","198"
"19999","0.13357917964458466","0.13357917964458466","0.13357917964458466","199","199","199"
"20099","0.13391852378845215","0.13391852378845215","0.13391852378845215","200","200","200"
"20199","0.13657480478286743","0.13657480478286743","0.13657480478286743","201","201","201"
"20299","0.13405536115169525","0.13405536115169525","0.13405536115169525","202","202","202"
"20399","0.12963470816612244","0.12963470816612244","0.12963470816612244","203","203","203"
"20499","0.1367737352848053","0.1367737352848053","0.1367737352848053","204","204","204"
"20599","0.13943518698215485","0.13943518698215485","0.13943518698215485","205","205","205"
"20699","0.14043094217777252","0.14043094217777252","0.14043094217777252","206","206","206"
"20799","0.13632521033287048","0.13632521033287048","0.13632521033287048","207","207","207"
"20899","0.13174910843372345","0.13174910843372345","0.13174910843372345","208","208","208"
"20999","0.1352231651544571","0.1352231651544571","0.1352231651544571","209","209","209"
"21099","0.13816872239112854","0.13816872239112854","0.13816872239112854","210","210","210"
"21199","0.1320475935935974","0.1320475935935974","0.1320475935935974","211","211","211"
"21299","0.1386203020811081","0.1386203020811081","0.1386203020811081","212","212","212"
"21399","0.1351977437734604","0.1351977437734604","0.1351977437734604","213","213","213"
"21499","0.13406692445278168","0.13406692445278168","0.13406692445278168","214","214","214"
"21599","0.13344721496105194","0.13344721496105194","0.13344721496105194","215","215","215"
"21699","0.1367037147283554","0.1367037147283554","0.1367037147283554","216","216","216"
"21799","0.1406642347574234","0.1406642347574234","0.1406642347574234","217","217","217"
"21899","0.13712500035762787","0.13712500035762787","0.13712500035762787","218","218","218"
"21999","0.1360594779253006","0.1360594779253006","0.1360594779253006","219","219","219"
"22099","0.1326424479484558","0.1326424479484558","0.1326424479484558","220","220","220"
"22199","0.12632668018341064","0.12632668018341064","0.12632668018341064","221","221","221"
"22299","0.13635361194610596","0.13635361194610596","0.13635361194610596","222","222","222"
"22399","0.13225848972797394","0.13225848972797394","0.13225848972797394","223","223","223"
"22499","0.13396815955638885","0.13396815955638885","0.13396815955638885","224","224","224"
"22599","0.13799341022968292","0.13799341022968292","0.13799341022968292","225","225","225"
"22699","0.13525380194187164","0.13525380194187164","0.13525380194187164","226","226","226"
"22799","0.13389457762241364","0.13389457762241364","0.13389457762241364","227","227","227"
"22899","0.13299749791622162","0.13299749791622162","0.13299749791622162","228","228","228"
"22999","0.1321929544210434","0.1321929544210434","0.1321929544210434","229","229","229"
"23099","0.13088154792785645","0.13088154792785645","0.13088154792785645","230","230","230"
"23199","0.1320846676826477","0.1320846676826477","0.1320846676826477","231","231","231"
"23299","0.14134694635868073","0.14134694635868073","0.14134694635868073","232","232","232"
"23399","0.13960175216197968","0.13960175216197968","0.13960175216197968","233","233","233"
"23499","0.13531143963336945","0.13531143963336945","0.13531143963336945","234","234","234"
"23599","0.13080182671546936","0.13080182671546936","0.13080182671546936","235","235","235"
"23699","0.1334790736436844","0.1334790736436844","0.1334790736436844","236","236","236"
"23799","0.1359214186668396","0.1359214186668396","0.1359214186668396","237","237","237"
"23899","0.13502027094364166","0.13502027094364166","0.13502027094364166","238","238","238"
"23999","0.13907970488071442","0.13907970488071442","0.13907970488071442","239","239","239"
"24099","0.13449080288410187","0.13449080288410187","0.13449080288410187","240","240","240"
"24199","0.12793129682540894","0.12793129682540894","0.12793129682540894","241","241","241"
"24299","0.13267278671264648","0.13267278671264648","0.13267278671264648","242","242","242"
"24399","0.1281396746635437","0.1281396746635437","0.1281396746635437","243","243","243"
"24499","0.13048510253429413","0.13048510253429413","0.13048510253429413","244","244","244"
"24599","0.12681593000888824","0.12681593000888824","0.12681593000888824","245","245","245"
"24699","0.12800899147987366","0.12800899147987366","0.12800899147987366","246","246","246"
"24799","0.1351042240858078","0.1351042240858078","0.1351042240858078","247","247","247"
