"trainer/global_step","causalsinh - train_loss","causalsinh - train_loss__MIN","causalsinh - train_loss__MAX","causalsinh - _step","causalsinh - _step__MIN","causalsinh - _step__MAX"
"29299","0.1359797716140747","0.1359797716140747","0.1359797716140747","292","292","292"
"29399","0.13211014866828918","0.13211014866828918","0.13211014866828918","293","293","293"
"29499","0.13471628725528717","0.13471628725528717","0.13471628725528717","294","294","294"
"29599","0.12657012045383453","0.12657012045383453","0.12657012045383453","295","295","295"
"29699","0.13413116335868835","0.13413116335868835","0.13413116335868835","296","296","296"
"29799","0.13349802792072296","0.13349802792072296","0.13349802792072296","297","297","297"
"29899","0.13485175371170044","0.13485175371170044","0.13485175371170044","298","298","298"
"29999","0.13672900199890137","0.13672900199890137","0.13672900199890137","299","299","299"
"30099","0.13143587112426758","0.13143587112426758","0.13143587112426758","300","300","300"
"30199","0.13222137093544006","0.13222137093544006","0.13222137093544006","301","301","301"
"30299","0.1318942904472351","0.1318942904472351","0.1318942904472351","302","302","302"
"30399","0.13640958070755005","0.13640958070755005","0.13640958070755005","303","303","303"
"30499","0.13206760585308075","0.13206760585308075","0.13206760585308075","304","304","304"
"30599","0.1292399764060974","0.1292399764060974","0.1292399764060974","305","305","305"
"30699","0.13646984100341797","0.13646984100341797","0.13646984100341797","306","306","306"
"30799","0.13218817114830017","0.13218817114830017","0.13218817114830017","307","307","307"
"30899","0.12874369323253632","0.12874369323253632","0.12874369323253632","308","308","308"
"30999","0.13442285358905792","0.13442285358905792","0.13442285358905792","309","309","309"
"31099","0.1287432760000229","0.1287432760000229","0.1287432760000229","310","310","310"
"31199","0.13138346374034882","0.13138346374034882","0.13138346374034882","311","311","311"
"31299","0.13146089017391205","0.13146089017391205","0.13146089017391205","312","312","312"
"31399","0.1365814208984375","0.1365814208984375","0.1365814208984375","313","313","313"
"31499","0.12709401547908783","0.12709401547908783","0.12709401547908783","314","314","314"
"31599","0.1332469880580902","0.1332469880580902","0.1332469880580902","315","315","315"
"31699","0.1370660960674286","0.1370660960674286","0.1370660960674286","316","316","316"
"31799","0.13291746377944946","0.13291746377944946","0.13291746377944946","317","317","317"
"31899","0.13909493386745453","0.13909493386745453","0.13909493386745453","318","318","318"
"31999","0.13018757104873657","0.13018757104873657","0.13018757104873657","319","319","319"
