"trainer/global_step","causal_mid - train_loss","causal_mid - train_loss__MIN","causal_mid - train_loss__MAX","causal_mid - _step","causal_mid - _step__MIN","causal_mid - _step__MAX"
"25299","0.1427147090435028","0.1427147090435028","0.1427147090435028","252","252","252"
"25399","0.14282551407814026","0.14282551407814026","0.14282551407814026","253","253","253"
"25499","0.13476906716823578","0.13476906716823578","0.13476906716823578","254","254","254"
"25599","0.14254705607891083","0.14254705607891083","0.14254705607891083","255","255","255"
"25699","0.14666207134723663","0.14666207134723663","0.14666207134723663","256","256","256"
"25799","0.14178471267223358","0.14178471267223358","0.14178471267223358","257","257","257"
"25899","0.14102323353290558","0.14102323353290558","0.14102323353290558","258","258","258"
"25999","0.14368923008441925","0.14368923008441925","0.14368923008441925","259","259","259"
"26099","0.14212700724601746","0.14212700724601746","0.14212700724601746","260","260","260"
"26199","0.13894890248775482","0.13894890248775482","0.13894890248775482","261","261","261"
"26299","0.1383584886789322","0.1383584886789322","0.1383584886789322","262","262","262"
"26399","0.13487188518047333","0.13487188518047333","0.13487188518047333","263","263","263"
"26499","0.1379636526107788","0.1379636526107788","0.1379636526107788","264","264","264"
"26599","0.14706119894981384","0.14706119894981384","0.14706119894981384","265","265","265"
"26699","0.141002357006073","0.141002357006073","0.141002357006073","266","266","266"
"26799","0.1372310370206833","0.1372310370206833","0.1372310370206833","267","267","267"
"26899","0.13552424311637878","0.13552424311637878","0.13552424311637878","268","268","268"
"26999","0.14656797051429749","0.14656797051429749","0.14656797051429749","269","269","269"
"27099","0.13948357105255127","0.13948357105255127","0.13948357105255127","270","270","270"
"27199","0.13684004545211792","0.13684004545211792","0.13684004545211792","271","271","271"
"27299","0.14418673515319824","0.14418673515319824","0.14418673515319824","272","272","272"
"27399","0.15115831792354584","0.15115831792354584","0.15115831792354584","273","273","273"
"27499","0.14400769770145416","0.14400769770145416","0.14400769770145416","274","274","274"
"27599","0.13854315876960754","0.13854315876960754","0.13854315876960754","275","275","275"
"27699","0.13896724581718445","0.13896724581718445","0.13896724581718445","276","276","276"
"27799","0.1401076763868332","0.1401076763868332","0.1401076763868332","277","277","277"
"27899","0.1363879293203354","0.1363879293203354","0.1363879293203354","278","278","278"
"27999","0.14417512714862823","0.14417512714862823","0.14417512714862823","279","279","279"
"28099","0.13949310779571533","0.13949310779571533","0.13949310779571533","280","280","280"
"28199","0.13843342661857605","0.13843342661857605","0.13843342661857605","281","281","281"
"28299","0.14435552060604095","0.14435552060604095","0.14435552060604095","282","282","282"
"28399","0.137861430644989","0.137861430644989","0.137861430644989","283","283","283"
"28499","0.14236465096473694","0.14236465096473694","0.14236465096473694","284","284","284"
"28599","0.1400851458311081","0.1400851458311081","0.1400851458311081","285","285","285"
"28699","0.13686296343803406","0.13686296343803406","0.13686296343803406","286","286","286"
"28799","0.14344103634357452","0.14344103634357452","0.14344103634357452","287","287","287"
"28899","0.13769622147083282","0.13769622147083282","0.13769622147083282","288","288","288"
"28999","0.1392870396375656","0.1392870396375656","0.1392870396375656","289","289","289"
"29099","0.14338688552379608","0.14338688552379608","0.14338688552379608","290","290","290"
"29199","0.14925704896450043","0.14925704896450043","0.14925704896450043","291","291","291"
"29299","0.1468925178050995","0.1468925178050995","0.1468925178050995","292","292","292"
"29399","0.1411762535572052","0.1411762535572052","0.1411762535572052","293","293","293"
"29499","0.13971923291683197","0.13971923291683197","0.13971923291683197","294","294","294"
"29599","0.13697437942028046","0.13697437942028046","0.13697437942028046","295","295","295"
"29699","0.13782882690429688","0.13782882690429688","0.13782882690429688","296","296","296"
"29799","0.14077018201351166","0.14077018201351166","0.14077018201351166","297","297","297"
"29899","0.14348404109477997","0.14348404109477997","0.14348404109477997","298","298","298"
"29999","0.13980436325073242","0.13980436325073242","0.13980436325073242","299","299","299"
"30099","0.13816377520561218","0.13816377520561218","0.13816377520561218","300","300","300"
"30199","0.13866189122200012","0.13866189122200012","0.13866189122200012","301","301","301"
"30299","0.14090701937675476","0.14090701937675476","0.14090701937675476","302","302","302"
"30399","0.14034532010555267","0.14034532010555267","0.14034532010555267","303","303","303"
"30499","0.1453256905078888","0.1453256905078888","0.1453256905078888","304","304","304"
"30599","0.13609662652015686","0.13609662652015686","0.13609662652015686","305","305","305"
"30699","0.14649727940559387","0.14649727940559387","0.14649727940559387","306","306","306"
"30799","0.14229127764701843","0.14229127764701843","0.14229127764701843","307","307","307"
"30899","0.14253021776676178","0.14253021776676178","0.14253021776676178","308","308","308"
"30999","0.14466379582881927","0.14466379582881927","0.14466379582881927","309","309","309"
"31099","0.13874289393424988","0.13874289393424988","0.13874289393424988","310","310","310"
"31199","0.13791538774967194","0.13791538774967194","0.13791538774967194","311","311","311"
"31299","0.1335790455341339","0.1335790455341339","0.1335790455341339","312","312","312"
"31399","0.1395026594400406","0.1395026594400406","0.1395026594400406","313","313","313"
"31499","0.14147205650806427","0.14147205650806427","0.14147205650806427","314","314","314"
"31599","0.13642652332782745","0.13642652332782745","0.13642652332782745","315","315","315"
"31699","0.14054638147354126","0.14054638147354126","0.14054638147354126","316","316","316"
"31799","0.13523630797863007","0.13523630797863007","0.13523630797863007","317","317","317"
"31899","0.14654889702796936","0.14654889702796936","0.14654889702796936","318","318","318"
"31999","0.13963504135608673","0.13963504135608673","0.13963504135608673","319","319","319"
"32099","0.13762013614177704","0.13762013614177704","0.13762013614177704","320","320","320"
"32199","0.14483730494976044","0.14483730494976044","0.14483730494976044","321","321","321"
"32299","0.13457196950912476","0.13457196950912476","0.13457196950912476","322","322","322"
"32399","0.1383618861436844","0.1383618861436844","0.1383618861436844","323","323","323"
"32499","0.14575959742069244","0.14575959742069244","0.14575959742069244","324","324","324"
"32599","0.14047618210315704","0.14047618210315704","0.14047618210315704","325","325","325"
"32699","0.140745609998703","0.140745609998703","0.140745609998703","326","326","326"
"32799","0.14312712848186493","0.14312712848186493","0.14312712848186493","327","327","327"
"32899","0.13543808460235596","0.13543808460235596","0.13543808460235596","328","328","328"
"32999","0.1391661912202835","0.1391661912202835","0.1391661912202835","329","329","329"
"33099","0.14715048670768738","0.14715048670768738","0.14715048670768738","330","330","330"
"33199","0.14562906324863434","0.14562906324863434","0.14562906324863434","331","331","331"
"33299","0.14099407196044922","0.14099407196044922","0.14099407196044922","332","332","332"
"33399","0.1407700777053833","0.1407700777053833","0.1407700777053833","333","333","333"
"33499","0.14000056684017181","0.14000056684017181","0.14000056684017181","334","334","334"
"33599","0.14114008843898773","0.14114008843898773","0.14114008843898773","335","335","335"
"33699","0.13946902751922607","0.13946902751922607","0.13946902751922607","336","336","336"
"33799","0.13457854092121124","0.13457854092121124","0.13457854092121124","337","337","337"
"33899","0.1380177140235901","0.1380177140235901","0.1380177140235901","338","338","338"
"33999","0.14316898584365845","0.14316898584365845","0.14316898584365845","339","339","339"
"34099","0.14031293988227844","0.14031293988227844","0.14031293988227844","340","340","340"
"34199","0.14103972911834717","0.14103972911834717","0.14103972911834717","341","341","341"
"34299","0.141073539853096","0.141073539853096","0.141073539853096","342","342","342"
"34399","0.14058275520801544","0.14058275520801544","0.14058275520801544","343","343","343"
"34499","0.14469902217388153","0.14469902217388153","0.14469902217388153","344","344","344"
"34599","0.13860008120536804","0.13860008120536804","0.13860008120536804","345","345","345"
"34699","0.1420925259590149","0.1420925259590149","0.1420925259590149","346","346","346"
"34799","0.14175771176815033","0.14175771176815033","0.14175771176815033","347","347","347"
"34899","0.13741011917591095","0.13741011917591095","0.13741011917591095","348","348","348"
"34999","0.1420764923095703","0.1420764923095703","0.1420764923095703","349","349","349"
"35099","0.1335809975862503","0.1335809975862503","0.1335809975862503","350","350","350"
"35199","0.13757078349590302","0.13757078349590302","0.13757078349590302","351","351","351"
"35299","0.14379540085792542","0.14379540085792542","0.14379540085792542","352","352","352"
"35399","0.1449223756790161","0.1449223756790161","0.1449223756790161","353","353","353"
"35499","0.13918131589889526","0.13918131589889526","0.13918131589889526","354","354","354"
