"trainer/global_step","prefix4sinh_mid - train_loss","prefix4sinh_mid - train_loss__MIN","prefix4sinh_mid - train_loss__MAX","prefix4sinh_mid - _step","prefix4sinh_mid - _step__MIN","prefix4sinh_mid - _step__MAX"
"21199","0.13618116080760956","0.13618116080760956","0.13618116080760956","211","211","211"
"21299","0.1348387897014618","0.1348387897014618","0.1348387897014618","212","212","212"
"21399","0.1359260529279709","0.1359260529279709","0.1359260529279709","213","213","213"
"21499","0.12115302681922913","0.12115302681922913","0.12115302681922913","214","214","214"
"21599","0.13265201449394226","0.13265201449394226","0.13265201449394226","215","215","215"
"21699","0.12954504787921906","0.12954504787921906","0.12954504787921906","216","216","216"
"21799","0.1272023320198059","0.1272023320198059","0.1272023320198059","217","217","217"
"21899","0.12910188734531403","0.12910188734531403","0.12910188734531403","218","218","218"
"21999","0.13722048699855804","0.13722048699855804","0.13722048699855804","219","219","219"
"22099","0.13359428942203522","0.13359428942203522","0.13359428942203522","220","220","220"
"22199","0.1403549462556839","0.1403549462556839","0.1403549462556839","221","221","221"
"22299","0.12856002151966095","0.12856002151966095","0.12856002151966095","222","222","222"
"22399","0.13578544557094574","0.13578544557094574","0.13578544557094574","223","223","223"
"22499","0.12536640465259552","0.12536640465259552","0.12536640465259552","224","224","224"
"22599","0.1295858472585678","0.1295858472585678","0.1295858472585678","225","225","225"
"22699","0.13258376717567444","0.13258376717567444","0.13258376717567444","226","226","226"
"22799","0.1367754340171814","0.1367754340171814","0.1367754340171814","227","227","227"
"22899","0.13061007857322693","0.13061007857322693","0.13061007857322693","228","228","228"
"22999","0.13020606338977814","0.13020606338977814","0.13020606338977814","229","229","229"
"23099","0.13477760553359985","0.13477760553359985","0.13477760553359985","230","230","230"
"23199","0.12947088479995728","0.12947088479995728","0.12947088479995728","231","231","231"
"23299","0.13340581953525543","0.13340581953525543","0.13340581953525543","232","232","232"
"23399","0.13938316702842712","0.13938316702842712","0.13938316702842712","233","233","233"
"23499","0.13876855373382568","0.13876855373382568","0.13876855373382568","234","234","234"
"23599","0.13633671402931213","0.13633671402931213","0.13633671402931213","235","235","235"
"23699","0.12844307720661163","0.12844307720661163","0.12844307720661163","236","236","236"
"23799","0.1311274617910385","0.1311274617910385","0.1311274617910385","237","237","237"
"23899","0.1402965486049652","0.1402965486049652","0.1402965486049652","238","238","238"
"23999","0.13322190940380096","0.13322190940380096","0.13322190940380096","239","239","239"
"24099","0.13008692860603333","0.13008692860603333","0.13008692860603333","240","240","240"
"24199","0.1308181881904602","0.1308181881904602","0.1308181881904602","241","241","241"
"24299","0.13596230745315552","0.13596230745315552","0.13596230745315552","242","242","242"
"24399","0.13769158720970154","0.13769158720970154","0.13769158720970154","243","243","243"
"24499","0.1276479810476303","0.1276479810476303","0.1276479810476303","244","244","244"
"24599","0.12945407629013062","0.12945407629013062","0.12945407629013062","245","245","245"
"24699","0.13371765613555908","0.13371765613555908","0.13371765613555908","246","246","246"
"24799","0.12566278874874115","0.12566278874874115","0.12566278874874115","247","247","247"
"24899","0.13090474903583527","0.13090474903583527","0.13090474903583527","248","248","248"
"24999","0.12955708801746368","0.12955708801746368","0.12955708801746368","249","249","249"
"25099","0.13709326088428497","0.13709326088428497","0.13709326088428497","250","250","250"
"25199","0.13501355051994324","0.13501355051994324","0.13501355051994324","251","251","251"
"25299","0.13102050125598907","0.13102050125598907","0.13102050125598907","252","252","252"
"25399","0.13450567424297333","0.13450567424297333","0.13450567424297333","253","253","253"
"25499","0.1277461051940918","0.1277461051940918","0.1277461051940918","254","254","254"
"25599","0.13219128549098969","0.13219128549098969","0.13219128549098969","255","255","255"
"25699","0.13583065569400787","0.13583065569400787","0.13583065569400787","256","256","256"
"25799","0.13199247419834137","0.13199247419834137","0.13199247419834137","257","257","257"
"25899","0.13189582526683807","0.13189582526683807","0.13189582526683807","258","258","258"
"25999","0.13504400849342346","0.13504400849342346","0.13504400849342346","259","259","259"
"26099","0.13441520929336548","0.13441520929336548","0.13441520929336548","260","260","260"
"26199","0.12761273980140686","0.12761273980140686","0.12761273980140686","261","261","261"
"26299","0.129817396402359","0.129817396402359","0.129817396402359","262","262","262"
"26399","0.12445057928562164","0.12445057928562164","0.12445057928562164","263","263","263"
"26499","0.1281200647354126","0.1281200647354126","0.1281200647354126","264","264","264"
"26599","0.13656523823738098","0.13656523823738098","0.13656523823738098","265","265","265"
"26699","0.12792763113975525","0.12792763113975525","0.12792763113975525","266","266","266"
"26799","0.12633000314235687","0.12633000314235687","0.12633000314235687","267","267","267"
"26899","0.12827029824256897","0.12827029824256897","0.12827029824256897","268","268","268"
"26999","0.13807366788387299","0.13807366788387299","0.13807366788387299","269","269","269"
"27099","0.12736207246780396","0.12736207246780396","0.12736207246780396","270","270","270"
"27199","0.12674953043460846","0.12674953043460846","0.12674953043460846","271","271","271"
"27299","0.13456964492797852","0.13456964492797852","0.13456964492797852","272","272","272"
"27399","0.14007538557052612","0.14007538557052612","0.14007538557052612","273","273","273"
"27499","0.1355869323015213","0.1355869323015213","0.1355869323015213","274","274","274"
"27599","0.12574152648448944","0.12574152648448944","0.12574152648448944","275","275","275"
"27699","0.129120871424675","0.129120871424675","0.129120871424675","276","276","276"
"27799","0.1281607449054718","0.1281607449054718","0.1281607449054718","277","277","277"
"27899","0.12669223546981812","0.12669223546981812","0.12669223546981812","278","278","278"
"27999","0.13776081800460815","0.13776081800460815","0.13776081800460815","279","279","279"
"28099","0.12979045510292053","0.12979045510292053","0.12979045510292053","280","280","280"
"28199","0.12809064984321594","0.12809064984321594","0.12809064984321594","281","281","281"
"28299","0.13247691094875336","0.13247691094875336","0.13247691094875336","282","282","282"
"28399","0.12774764001369476","0.12774764001369476","0.12774764001369476","283","283","283"
"28499","0.13383826613426208","0.13383826613426208","0.13383826613426208","284","284","284"
"28599","0.12830375134944916","0.12830375134944916","0.12830375134944916","285","285","285"
"28699","0.12596820294857025","0.12596820294857025","0.12596820294857025","286","286","286"
"28799","0.1352391391992569","0.1352391391992569","0.1352391391992569","287","287","287"
"28899","0.13027389347553253","0.13027389347553253","0.13027389347553253","288","288","288"
"28999","0.12979982793331146","0.12979982793331146","0.12979982793331146","289","289","289"
"29099","0.13176003098487854","0.13176003098487854","0.13176003098487854","290","290","290"
"29199","0.13713958859443665","0.13713958859443665","0.13713958859443665","291","291","291"
"29299","0.13728436827659607","0.13728436827659607","0.13728436827659607","292","292","292"
"29399","0.13279613852500916","0.13279613852500916","0.13279613852500916","293","293","293"
"29499","0.13062720000743866","0.13062720000743866","0.13062720000743866","294","294","294"
"29599","0.12571746110916138","0.12571746110916138","0.12571746110916138","295","295","295"
"29699","0.12729966640472412","0.12729966640472412","0.12729966640472412","296","296","296"
"29799","0.12982164323329926","0.12982164323329926","0.12982164323329926","297","297","297"
"29899","0.13264554738998413","0.13264554738998413","0.13264554738998413","298","298","298"
"29999","0.1281714141368866","0.1281714141368866","0.1281714141368866","299","299","299"
"30099","0.126149520277977","0.126149520277977","0.126149520277977","300","300","300"
"30199","0.12851053476333618","0.12851053476333618","0.12851053476333618","301","301","301"
"30299","0.13298720121383667","0.13298720121383667","0.13298720121383667","302","302","302"
"30399","0.12951362133026123","0.12951362133026123","0.12951362133026123","303","303","303"
"30499","0.13451367616653442","0.13451367616653442","0.13451367616653442","304","304","304"
"30599","0.12733091413974762","0.12733091413974762","0.12733091413974762","305","305","305"
"30699","0.13603758811950684","0.13603758811950684","0.13603758811950684","306","306","306"
"30799","0.13275161385536194","0.13275161385536194","0.13275161385536194","307","307","307"
"30899","0.13110125064849854","0.13110125064849854","0.13110125064849854","308","308","308"
"30999","0.13525356352329254","0.13525356352329254","0.13525356352329254","309","309","309"
"31099","0.12554405629634857","0.12554405629634857","0.12554405629634857","310","310","310"
"31199","0.1282632201910019","0.1282632201910019","0.1282632201910019","311","311","311"
"31299","0.12499881535768509","0.12499881535768509","0.12499881535768509","312","312","312"
"31399","0.1301073431968689","0.1301073431968689","0.1301073431968689","313","313","313"
"31499","0.13219530880451202","0.13219530880451202","0.13219530880451202","314","314","314"
"31599","0.12403947860002518","0.12403947860002518","0.12403947860002518","315","315","315"
